interaction_id,date,customer_id,product_type,customer_tier,tenure_months,queue,interaction_type,agent_id,agent_tenure_months,sentiment_score,duration_sec,agent_disposition,transferred_flag,department_transferred,disconnected_by,legal_mention,high_risk_phrase,scenario_label,escalation_validity
INT-46202,8/18/2025,CUS-9514,Reserve Infinite,Preferred,59,General Inquiry,Call,AGT-100,38,0.57,2612,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-87014,8/16/2025,CUS-9561,Travel Platinum,Private Wealth,101,Account Access,Call,AGT-126,22,-0.77,672,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-29424,3/18/2025,CUS-2641,Reserve Infinite,Private Wealth,119,Card Services,Call,AGT-106,11,0.13,473,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-47498,3/3/2025,CUS-9775,Travel Platinum,Preferred,113,Card Services,Chat,AGT-122,10,0.76,1141,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-60206,7/24/2025,CUS-8955,Travel Platinum,Mass Market,74,Account Access,Chat,AGT-138,15,-0.05,765,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-46099,6/14/2025,CUS-7602,Travel Platinum,Mass Market,19,Transaction Disputes,Call,AGT-139,29,0.22,2901,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-62654,5/19/2025,CUS-1635,Reserve Infinite,Private Wealth,51,Card Services,Call,AGT-121,16,0.38,261,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-72287,3/22/2025,CUS-5400,Everyday Blue,Mass Market,115,Transaction Disputes,Call,AGT-123,38,-0.96,3408,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-49722,2/3/2026,CUS-6094,Small Business Elite,Mass Market,36,Fraud Ops,Call,AGT-131,9,0.72,2865,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-22873,12/19/2025,CUS-4734,Travel Platinum,Mass Market,18,Collections,Call,AGT-119,14,0.95,1874,Callback Requested,N,None,Agent,,,Normal,No_Escalation_Required
INT-52056,9/14/2025,CUS-5414,Everyday Blue,Affluent,94,Account Access,Call,AGT-126,43,-0.93,425,Resolved,N,None,Customer,,You are useless,Risk_Abuse,Missed_Escalation
INT-34633,1/30/2026,CUS-8237,Reserve Infinite,Mass Market,28,Fraud Ops,Call,AGT-126,54,0.48,3170,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-77698,2/16/2026,CUS-7126,Travel Platinum,Preferred,106,VIP Services,Call,AGT-103,38,0.03,711,Follow Up Needed,N,None,Agent,,,Normal,No_Escalation_Required
INT-18600,10/20/2025,CUS-6097,Reserve Infinite,Preferred,91,Collections,Call,AGT-132,21,-0.31,3256,Escalated to Lead,Y,Tier 3,Customer,,I can't afford to buy food,Risk_Vulnerability,Valid_Escalation
INT-78719,5/26/2025,CUS-1474,Small Business Elite,Preferred,23,Account Access,Call,AGT-112,26,0.75,882,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-17553,3/3/2025,CUS-5087,Small Business Elite,Affluent,5,Card Services,Chat,AGT-129,9,-0.9,1536,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-36097,11/20/2025,CUS-5488,Everyday Blue,Mass Market,48,Collections,Chat,AGT-129,32,0.01,2662,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-26236,8/7/2025,CUS-1500,Travel Platinum,Affluent,31,Account Access,Call,AGT-123,27,-0.02,1887,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-33276,10/12/2025,CUS-8775,Small Business Elite,Mass Market,76,Collections,Chat,AGT-135,25,-0.3,729,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-43903,1/17/2026,CUS-2480,Reserve Infinite,Private Wealth,37,VIP Services,Call,AGT-101,21,-0.23,727,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-85007,4/24/2025,CUS-4511,Small Business Elite,Preferred,110,Credit Line,Call,AGT-114,22,0.29,2835,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-37096,9/18/2025,CUS-5408,Reserve Infinite,Affluent,84,Transaction Disputes,Call,AGT-126,36,0.03,3256,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-99417,10/6/2025,CUS-1145,Travel Platinum,Affluent,61,VIP Services,Chat,AGT-108,12,0.29,2522,Provided Adjustment,N,None,None,,,Normal,No_Escalation_Required
INT-11109,8/15/2025,CUS-4666,Everyday Blue,Private Wealth,33,Card Services,Chat,AGT-138,45,0.61,1311,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-94245,3/22/2025,CUS-5511,Small Business Elite,Preferred,55,Account Access,Chat,AGT-124,27,0.7,1940,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-43029,6/24/2025,CUS-4575,Reserve Infinite,Mass Market,60,Credit Line,Call,AGT-119,13,0.35,3436,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-91737,6/18/2025,CUS-7506,Small Business Elite,Mass Market,75,Credit Line,Call,AGT-106,16,-0.99,2773,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-59051,10/19/2025,CUS-5631,Travel Platinum,Affluent,39,Transaction Disputes,Chat,AGT-143,20,-0.89,321,Callback Requested,N,None,None,,Shut up and listen,Risk_Abuse,Missed_Escalation
INT-54077,12/27/2025,CUS-5529,Everyday Blue,Preferred,82,Credit Line,Call,AGT-120,26,0.72,1129,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-95998,6/17/2025,CUS-5895,Everyday Blue,Affluent,25,VIP Services,Chat,AGT-109,32,0.03,1044,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-17441,10/28/2025,CUS-7620,Travel Platinum,Affluent,85,General Inquiry,Call,AGT-120,23,0.36,3014,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-13336,6/2/2025,CUS-9148,Everyday Blue,Private Wealth,38,Card Services,Call,AGT-116,11,-0.37,1717,Escalated to Lead,Y,Tier 3,Customer,,I can't afford to buy food,Risk_Vulnerability,Valid_Escalation
INT-60891,1/27/2026,CUS-1578,Everyday Blue,Affluent,75,Transaction Disputes,Call,AGT-145,26,0.99,3402,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-34892,12/10/2025,CUS-6622,Reserve Infinite,Mass Market,93,Collections,Call,AGT-145,23,-0.56,2249,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-93665,9/5/2025,CUS-8794,Small Business Elite,Mass Market,117,Collections,Call,AGT-142,19,-0.28,1289,Requires More Info,N,None,None,,,Normal,No_Escalation_Required
INT-32280,8/2/2025,CUS-3967,Travel Platinum,Private Wealth,38,VIP Services,Call,AGT-106,12,-0.06,3094,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-43902,6/11/2025,CUS-3999,Everyday Blue,Affluent,88,Card Services,Call,AGT-121,47,0.31,970,Ticket Closed,N,None,None,,,Normal,No_Escalation_Required
INT-56567,6/14/2025,CUS-4659,Small Business Elite,Preferred,96,Credit Line,Call,AGT-119,26,-0.16,1417,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-58717,2/6/2026,CUS-5269,Everyday Blue,Preferred,75,Card Services,Call,AGT-118,29,-0.07,542,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-71674,7/14/2025,CUS-1879,Reserve Infinite,Private Wealth,111,VIP Services,Call,AGT-140,8,-0.88,2602,Duplicate Ticket Exists,N,None,Customer,,You are useless,Risk_Abuse,Missed_Escalation
INT-19334,8/23/2025,CUS-8736,Travel Platinum,Affluent,114,Account Access,Call,AGT-112,18,0,2848,Requires More Info,N,None,None,,,Normal,No_Escalation_Required
INT-60026,2/12/2026,CUS-9680,Small Business Elite,Mass Market,39,Credit Line,Call,AGT-126,43,-0.89,3558,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-29762,10/15/2025,CUS-3250,Everyday Blue,Private Wealth,26,Fraud Ops,Call,AGT-121,17,-0.18,2392,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-69974,9/3/2025,CUS-3346,Everyday Blue,Preferred,41,Credit Line,Call,AGT-145,35,-0.64,391,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-73908,7/17/2025,CUS-6449,Everyday Blue,Preferred,81,Collections,Chat,AGT-111,25,-0.73,297,Duplicate Ticket Exists,N,None,Customer,,Stop lying to me,Risk_Abuse,Missed_Escalation
INT-10617,4/26/2025,CUS-8406,Reserve Infinite,Private Wealth,36,Card Services,Call,AGT-113,38,0.52,750,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-85534,6/29/2025,CUS-3595,Reserve Infinite,Mass Market,63,Collections,Call,AGT-150,12,0.53,420,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-26961,11/20/2025,CUS-8105,Travel Platinum,Preferred,82,Collections,Call,AGT-127,14,-0.19,2015,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-60242,10/3/2025,CUS-1076,Everyday Blue,Mass Market,5,Collections,Chat,AGT-134,25,-0.6,1588,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-11845,11/21/2025,CUS-6279,Reserve Infinite,Mass Market,97,Card Services,Call,AGT-133,44,-0.62,2831,Resolved,N,None,None,,,Normal,No_Escalation_Required
INT-10540,5/2/2025,CUS-5076,Travel Platinum,Mass Market,29,Transaction Disputes,Chat,AGT-144,20,0.75,1338,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-26899,9/5/2025,CUS-2682,Everyday Blue,Preferred,50,General Inquiry,Chat,AGT-132,11,-0.94,744,Resolved,N,None,Customer,,I hope you get fired,Risk_Abuse,Missed_Escalation
INT-18557,1/21/2026,CUS-1749,Reserve Infinite,Private Wealth,39,VIP Services,Call,AGT-118,30,-0.09,2191,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-88167,7/26/2025,CUS-9587,Reserve Infinite,Private Wealth,44,General Inquiry,Chat,AGT-127,28,0.78,608,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-54922,10/29/2025,CUS-9031,Travel Platinum,Private Wealth,46,Account Access,Chat,AGT-148,16,-0.62,3385,Provided Adjustment,N,None,None,,,Normal,No_Escalation_Required
INT-62873,4/2/2025,CUS-1313,Reserve Infinite,Private Wealth,30,Credit Line,Call,AGT-114,49,0.45,597,Escalated to Trust & Safety,Y,Trust & Safety,Customer,I will sue your company,,Legal_Inexplicit,Valid_Escalation
INT-37681,2/7/2026,CUS-1359,Travel Platinum,Preferred,76,Credit Line,Call,AGT-132,36,-0.66,1561,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-95267,9/27/2025,CUS-1612,Reserve Infinite,Affluent,49,Fraud Ops,Chat,AGT-140,17,-0.49,2250,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-91675,5/15/2025,CUS-1796,Everyday Blue,Mass Market,77,Credit Line,Call,AGT-103,13,0.32,2737,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-12587,4/15/2025,CUS-1790,Small Business Elite,Preferred,89,Tech Support,Chat,AGT-107,12,-0.17,1617,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-26199,9/6/2025,CUS-9966,Everyday Blue,Mass Market,33,Account Access,Call,AGT-130,11,0.4,901,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-99881,9/6/2025,CUS-1152,Travel Platinum,Private Wealth,39,Tech Support,Call,AGT-126,29,0.32,2773,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-78197,3/23/2025,CUS-5423,Small Business Elite,Mass Market,80,Collections,Chat,AGT-138,10,0.4,1775,Follow Up Needed,N,None,Agent,,,Normal,No_Escalation_Required
INT-23751,2/14/2026,CUS-9381,Everyday Blue,Mass Market,93,Tech Support,Call,AGT-139,55,-0.76,526,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-23928,1/16/2026,CUS-9154,Travel Platinum,Private Wealth,26,VIP Services,Call,AGT-138,46,-0.6,1137,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-78569,8/4/2025,CUS-4304,Travel Platinum,Private Wealth,46,VIP Services,Call,AGT-145,25,-0.18,716,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-15164,3/31/2025,CUS-9980,Travel Platinum,Private Wealth,64,VIP Services,Call,AGT-113,24,0.38,2028,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-53332,12/17/2025,CUS-4842,Everyday Blue,Preferred,1,Card Services,Call,AGT-100,22,0.34,512,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-85255,8/17/2025,CUS-9095,Small Business Elite,Mass Market,20,Credit Line,Call,AGT-105,7,0.56,367,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-23276,11/5/2025,CUS-5192,Everyday Blue,Preferred,83,General Inquiry,Chat,AGT-114,43,-0.09,1272,Escalated to Lead,N,None,None,,,Normal,Invalid_Disposition
INT-44619,8/21/2025,CUS-8606,Reserve Infinite,Private Wealth,7,VIP Services,Call,AGT-106,7,0.63,221,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-48085,5/27/2025,CUS-6901,Everyday Blue,Mass Market,103,Tech Support,Call,AGT-143,14,-0.37,3085,Escalated to Trust & Safety,N,None,Agent,,,Normal,Invalid_Disposition
INT-25191,12/18/2025,CUS-2556,Everyday Blue,Mass Market,109,Fraud Ops,Chat,AGT-148,15,0.78,99,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-28139,2/9/2026,CUS-3793,Travel Platinum,Affluent,43,Credit Line,Call,AGT-122,14,0.79,2606,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-45167,5/16/2025,CUS-2522,Everyday Blue,Affluent,48,Tech Support,Call,AGT-121,18,-0.63,1701,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-62461,9/6/2025,CUS-8479,Reserve Infinite,Private Wealth,35,Credit Line,Call,AGT-124,38,0.38,2018,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-65278,7/7/2025,CUS-3732,Small Business Elite,Private Wealth,15,General Inquiry,Call,AGT-108,25,0.39,300,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-30892,1/19/2026,CUS-2699,Everyday Blue,Affluent,54,Account Access,Chat,AGT-137,40,-0.03,2390,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-98918,8/21/2025,CUS-8178,Everyday Blue,Mass Market,24,Collections,Call,AGT-139,31,-0.24,1528,Escalated to Trust & Safety,Y,Trust & Safety,Agent,I know this is illegal,,Legal_Implied,Valid_Escalation
INT-90131,1/3/2026,CUS-1472,Everyday Blue,Preferred,111,Account Access,Call,AGT-143,32,0.76,3038,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-27125,12/29/2025,CUS-8914,Reserve Infinite,Preferred,118,General Inquiry,Chat,AGT-131,14,-0.77,1744,Ticket Closed,N,None,Agent,,,Normal,No_Escalation_Required
INT-67761,5/28/2025,CUS-1753,Travel Platinum,Mass Market,9,Tech Support,Chat,AGT-116,29,0.31,110,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-98857,12/2/2025,CUS-9598,Reserve Infinite,Preferred,99,Fraud Ops,Call,AGT-147,19,-0.81,2374,Requires More Info,N,None,Customer,,I hope you get fired,Risk_Abuse,Missed_Escalation
INT-39358,7/18/2025,CUS-6542,Reserve Infinite,Preferred,67,Collections,Chat,AGT-133,10,-0.86,2592,Requires More Info,N,None,Customer,,You represent a scam,Risk_Abuse,Missed_Escalation
INT-22483,1/24/2026,CUS-8091,Reserve Infinite,Mass Market,85,Fraud Ops,Call,AGT-146,32,-0.5,1476,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-96993,8/21/2025,CUS-7305,Small Business Elite,Mass Market,20,Collections,Call,AGT-135,28,0.78,2570,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-17152,12/13/2025,CUS-1190,Small Business Elite,Mass Market,83,Collections,Chat,AGT-110,45,0.01,1982,Escalated to Trust & Safety,Y,Trust & Safety,Customer,Prepare for legal action,,Legal_Inexplicit,Valid_Escalation
INT-74990,5/31/2025,CUS-3709,Reserve Infinite,Private Wealth,10,VIP Services,Chat,AGT-148,10,-0.02,1046,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-53371,6/5/2025,CUS-5557,Travel Platinum,Mass Market,7,Transaction Disputes,Call,AGT-132,43,-0.55,2695,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-59628,9/19/2025,CUS-7607,Reserve Infinite,Affluent,105,Account Access,Chat,AGT-115,41,-0.84,1879,Requires More Info,N,None,Agent,,,Normal,No_Escalation_Required
INT-85108,2/16/2026,CUS-8341,Small Business Elite,Private Wealth,12,Fraud Ops,Call,AGT-131,10,-0.87,546,Follow Up Needed,N,None,Customer,,I hope you get fired,Risk_Abuse,Missed_Escalation
INT-75191,8/14/2025,CUS-1291,Small Business Elite,Affluent,14,General Inquiry,Call,AGT-125,22,-0.18,2342,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-81971,4/12/2025,CUS-1002,Reserve Infinite,Mass Market,106,Collections,Chat,AGT-105,2,0.58,2595,Escalated to Trust & Safety,Y,Trust & Safety,Customer,I am contacting my legal counsel,,Legal_Inexplicit,Valid_Escalation
INT-93563,9/1/2025,CUS-5990,Small Business Elite,Private Wealth,114,VIP Services,Call,AGT-132,36,0.12,2741,Follow Up Needed,N,None,Agent,,,Normal,No_Escalation_Required
INT-98011,6/22/2025,CUS-8474,Reserve Infinite,Mass Market,44,General Inquiry,Call,AGT-123,31,0.65,3404,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-39218,9/6/2025,CUS-8445,Reserve Infinite,Mass Market,43,Collections,Chat,AGT-135,6,0.53,2517,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-72014,9/3/2025,CUS-6952,Everyday Blue,Affluent,92,VIP Services,Call,AGT-128,38,-0.77,3170,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-96364,8/2/2025,CUS-4633,Small Business Elite,Affluent,1,Transaction Disputes,Chat,AGT-121,35,-0.29,2655,Customer Education,N,None,None,,,Normal,No_Escalation_Required
INT-48270,6/14/2025,CUS-9973,Everyday Blue,Preferred,67,Collections,Chat,AGT-123,29,0.4,247,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-31516,4/26/2025,CUS-9067,Travel Platinum,Affluent,18,Account Access,Chat,AGT-145,26,0.49,1736,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-24019,10/29/2025,CUS-5166,Reserve Infinite,Private Wealth,79,Fraud Ops,Call,AGT-112,13,-0.62,3550,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-61497,9/13/2025,CUS-4532,Small Business Elite,Private Wealth,59,Tech Support,Call,AGT-150,25,-0.62,1444,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-24125,5/13/2025,CUS-7790,Travel Platinum,Preferred,6,Fraud Ops,Call,AGT-140,14,0.67,2471,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-26150,11/27/2025,CUS-8381,Everyday Blue,Private Wealth,59,VIP Services,Call,AGT-142,22,0.18,2125,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-27647,3/4/2025,CUS-9172,Everyday Blue,Mass Market,1,Fraud Ops,Call,AGT-133,20,0.47,2326,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-66729,11/15/2025,CUS-8912,Small Business Elite,Preferred,119,Card Services,Chat,AGT-132,12,-0.96,785,Escalated to Trust & Safety,N,None,Customer,,You are an idiot,Risk_Abuse,Failed_Escalation
INT-85832,11/1/2025,CUS-3845,Travel Platinum,Private Wealth,94,VIP Services,Chat,AGT-108,22,-0.79,2753,Escalated to Trust & Safety,N,None,None,,,Normal,Invalid_Disposition
INT-88714,12/10/2025,CUS-6273,Small Business Elite,Mass Market,65,Card Services,Call,AGT-124,45,-0.16,2554,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-42537,7/7/2025,CUS-5482,Everyday Blue,Preferred,51,Card Services,Call,AGT-121,12,0.94,1914,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-27481,10/17/2025,CUS-3263,Travel Platinum,Preferred,53,Credit Line,Chat,AGT-138,11,0.4,3125,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-77147,12/13/2025,CUS-5897,Small Business Elite,Affluent,108,Transaction Disputes,Call,AGT-144,19,0.1,1345,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-82559,2/9/2026,CUS-4560,Reserve Infinite,Private Wealth,26,Transaction Disputes,Call,AGT-113,13,0.25,1250,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-99995,8/16/2025,CUS-6657,Small Business Elite,Affluent,118,Fraud Ops,Call,AGT-143,33,-0.73,2969,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-95208,3/2/2025,CUS-3913,Everyday Blue,Mass Market,65,Transaction Disputes,Call,AGT-134,30,0.39,1380,Escalated to Lead,N,None,Agent,,,Normal,Invalid_Disposition
INT-25126,8/19/2025,CUS-6771,Small Business Elite,Mass Market,72,Collections,Chat,AGT-130,23,0.17,2792,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-64719,9/20/2025,CUS-9747,Everyday Blue,Private Wealth,37,VIP Services,Chat,AGT-127,13,0.62,2201,Escalated to Trust & Safety,N,None,Agent,,,Normal,Invalid_Disposition
INT-23955,12/31/2025,CUS-1414,Reserve Infinite,Preferred,49,Card Services,Call,AGT-109,16,-0.89,291,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-36201,1/2/2026,CUS-5374,Reserve Infinite,Mass Market,97,Collections,Call,AGT-150,43,-0.68,1233,Escalated to Trust & Safety,Y,Trust & Safety,None,I am contacting my legal counsel,,Legal_Inexplicit,Valid_Escalation
INT-99573,7/27/2025,CUS-5105,Reserve Infinite,Private Wealth,19,Transaction Disputes,Call,AGT-103,23,0.38,1268,Escalated to Trust & Safety,Y,Trust & Safety,Customer,Unfair lending practice,,Legal_Implied,Valid_Escalation
INT-36738,8/27/2025,CUS-9866,Reserve Infinite,Mass Market,5,Collections,Chat,AGT-122,20,0.63,479,Provided Adjustment,N,None,Customer,,,Normal,No_Escalation_Required
INT-90754,8/2/2025,CUS-4675,Small Business Elite,Mass Market,96,Fraud Ops,Chat,AGT-141,48,0.12,1033,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-76967,11/7/2025,CUS-5712,Travel Platinum,Affluent,89,VIP Services,Chat,AGT-142,35,-0.91,1622,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-60797,7/16/2025,CUS-7825,Everyday Blue,Affluent,101,Fraud Ops,Chat,AGT-143,33,-0.37,2321,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-17051,10/13/2025,CUS-1212,Small Business Elite,Mass Market,96,Collections,Call,AGT-116,32,-0.59,3258,Follow Up Needed,N,None,Customer,,,Normal,No_Escalation_Required
INT-68073,4/14/2025,CUS-4695,Reserve Infinite,Private Wealth,117,Transaction Disputes,Call,AGT-140,46,0.41,2712,Escalated to Trust & Safety,Y,Trust & Safety,None,I know this is illegal,,Legal_Implied,Valid_Escalation
INT-58200,8/7/2025,CUS-9955,Travel Platinum,Affluent,95,Card Services,Call,AGT-138,22,-0.61,3029,Customer Education,N,None,Customer,,,Normal,No_Escalation_Required
INT-35362,2/5/2026,CUS-5819,Travel Platinum,Private Wealth,58,VIP Services,Call,AGT-111,30,0.97,365,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-34507,6/20/2025,CUS-3847,Everyday Blue,Private Wealth,95,Credit Line,Call,AGT-132,19,-0.76,226,Duplicate Ticket Exists,N,None,Customer,,,Normal,No_Escalation_Required
INT-66165,10/27/2025,CUS-5572,Reserve Infinite,Mass Market,72,Collections,Chat,AGT-116,19,-0.74,2452,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-43425,10/12/2025,CUS-1092,Reserve Infinite,Affluent,43,Transaction Disputes,Call,AGT-129,30,0.42,694,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-15235,12/24/2025,CUS-3518,Small Business Elite,Affluent,119,Fraud Ops,Chat,AGT-120,38,0.19,3228,Requires More Info,N,None,Customer,,,Normal,No_Escalation_Required
INT-91968,12/25/2025,CUS-5934,Travel Platinum,Preferred,63,Collections,Call,AGT-150,12,0.15,1526,Resolved,N,None,None,,,Normal,No_Escalation_Required
INT-19552,12/27/2025,CUS-6207,Reserve Infinite,Preferred,68,Collections,Call,AGT-114,30,0.91,2192,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-18936,7/5/2025,CUS-9276,Travel Platinum,Private Wealth,21,Account Access,Call,AGT-126,45,0.09,1712,Escalated to Lead,N,None,Customer,,,Normal,Invalid_Disposition
INT-22051,6/12/2025,CUS-6724,Everyday Blue,Preferred,29,Card Services,Call,AGT-113,13,0.33,1416,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-57290,11/6/2025,CUS-5809,Reserve Infinite,Private Wealth,28,Tech Support,Chat,AGT-148,30,0.24,2005,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-83575,11/21/2025,CUS-1144,Small Business Elite,Preferred,15,Fraud Ops,Call,AGT-142,11,-0.31,1044,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-94182,1/1/2026,CUS-4994,Everyday Blue,Private Wealth,6,Credit Line,Chat,AGT-143,30,0.77,1622,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-24860,3/2/2025,CUS-7322,Small Business Elite,Preferred,33,Card Services,Call,AGT-134,12,0.45,161,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-77746,3/13/2025,CUS-7143,Small Business Elite,Mass Market,66,Tech Support,Call,AGT-132,39,-0.11,239,Callback Requested,N,None,Customer,,,Normal,No_Escalation_Required
INT-48854,10/5/2025,CUS-4154,Small Business Elite,Mass Market,42,Transaction Disputes,Call,AGT-132,11,-0.84,453,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-31940,1/19/2026,CUS-9814,Small Business Elite,Preferred,69,Card Services,Call,AGT-100,41,0.25,923,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-97862,2/16/2026,CUS-4492,Everyday Blue,Mass Market,111,Account Access,Call,AGT-143,26,-0.15,485,Escalated to Trust & Safety,N,None,Customer,,,Normal,Invalid_Disposition
INT-36945,11/16/2025,CUS-9810,Small Business Elite,Preferred,107,Account Access,Call,AGT-144,22,0.76,3096,Resolved,N,None,Customer,,,Normal,No_Escalation_Required
INT-67047,7/25/2025,CUS-2181,Small Business Elite,Affluent,96,Card Services,Call,AGT-143,33,-0.69,1940,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
INT-53478,3/24/2025,CUS-1620,Reserve Infinite,Preferred,12,Transaction Disputes,Call,AGT-104,38,-0.89,3313,Ticket Closed,N,None,Customer,,,Normal,No_Escalation_Required
